WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071982 -5.7985266)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
"POINT (106.807915 -6.332973)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.332973,106.807915,1.0
"POINT (106.8966705 -6.2258793)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2258793,106.8966705,1.0
"POINT (107.01958 -6.1589791)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.1589791,107.01958,1.0
"POINT (106.5897407 -6.2743436)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.2743436,106.5897407,1.0
"POINT (106.4853702 -6.1787731)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.1787731,106.4853702,1.0
